code_module,code_presentation,id_student,date_registration,date_unregistration,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_activity,days_active,last_active_date,distinct_content_items_accessed,final_assessment_score,final_exam_score
AAA,2013J,11391,-159.0,,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,934.0,40.0,253.0,55.0,82.4,
AAA,2013J,28400,-53.0,,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,1435.0,80.0,239.0,84.0,65.4,
AAA,2013J,30268,-92.0,12.0,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,281.0,12.0,12.0,22.0,,
AAA,2013J,31604,-52.0,,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,2158.0,123.0,264.0,82.0,76.30000000000001,
AAA,2013J,32885,-176.0,,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,1034.0,70.0,247.0,66.0,55.0,
AAA,2013J,38053,-110.0,,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,2445.0,143.0,267.0,88.0,66.9,
AAA,2013J,45462,-67.0,,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,1492.0,90.0,267.0,59.0,67.8,
AAA,2013J,45642,-29.0,,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,1428.0,105.0,264.0,66.0,72.5,
AAA,2013J,52130,-33.0,,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,1894.0,122.0,245.0,76.0,71.19999999999999,
AAA,2013J,53025,-179.0,,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,3158.0,142.0,257.0,80.0,79.0,
AAA,2013J,57506,-103.0,,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,1319.0,90.0,243.0,76.0,74.0,
AAA,2013J,58873,-47.0,,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,1732.0,120.0,256.0,74.0,73.7,
AAA,2013J,59185,-59.0,,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,1102.0,61.0,245.0,52.0,80.8,
AAA,2013J,62155,-68.0,,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,3388.0,148.0,265.0,98.0,76.4,
AAA,2013J,63400,-67.0,,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,2737.0,175.0,268.0,73.0,71.2,
AAA,2013J,65002,-180.0,96.0,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,171.0,11.0,96.0,25.0,20.2,
AAA,2013J,70464,-95.0,,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,1053.0,46.0,248.0,63.0,53.49999999999999,
AAA,2013J,71361,-130.0,,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,2327.0,135.0,243.0,81.0,79.69999999999999,
AAA,2013J,74372,-50.0,,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,116.0,14.0,213.0,23.0,32.8,
AAA,2013J,75091,-107.0,,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,2992.0,122.0,254.0,100.0,65.8,
AAA,2013J,77367,-27.0,,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,680.0,86.0,250.0,44.0,69.5,
AAA,2013J,91265,-31.0,,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,1494.0,125.0,259.0,60.0,69.0,
AAA,2013J,94961,-170.0,72.0,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,339.0,24.0,55.0,26.0,7.4,
AAA,2013J,98094,-107.0,,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,2839.0,91.0,264.0,91.0,60.6,
